,Probe,Af_out
146696,cg07522516,1
129762,cg06652011,1
88100,cg04390096,1
95398,cg04781018,1
451818,cg25873514,1
134721,cg06896619,1
246438,cg13377102,1
76895,cg03810198,1
57711,cg02839725,1
156345,cg08055133,1
321260,cg17573813,1
430058,cg24504954,1
337162,cg18557837,1
393815,cg22230662,1
359832,cg19977011,1
214233,cg11382241,1
380379,cg21314603,1
409502,cg23230834,1
173782,cg09021039,1
240946,cg13033971,1
466789,cg26756769,1
434757,cg24781299,1
61905,cg03040740,1
385129,cg21635413,1
457806,cg26239085,1
463922,cg26583088,1
150241,cg07712165,1
451619,cg25853727,1
253796,cg13724780,1
425037,cg24176323,1
330192,cg18137779,1
97893,cg04904561,1
222658,cg11881038,1
221914,cg11842073,1
452049,cg25890074,1
5221,cg00243527,1
141394,cg07227024,1
241490,cg13069531,1
472280,cg27064867,1
192623,cg10111314,1
118536,cg06012695,1
60252,cg02958551,1
348026,cg19266779,1
300562,cg16345566,1
147795,cg07578618,1
60915,cg02990289,1
429639,cg24479928,1
270369,cg14530560,1
65566,cg03230769,1
244763,cg13279926,1
422854,cg24051749,1
316795,cg17302580,1
447207,cg25569203,1
335289,cg18445504,1
292739,cg15879084,1
45701,cg02239586,1
63909,cg03145999,1
344555,cg19026811,1
11136,cg00523683,1
227378,cg12160578,1
127464,cg06532877,1
1588,cg00067141,1
204536,cg10797856,1
85743,cg04267704,1
78973,cg03925353,1
307180,cg16704241,1
382576,cg21482674,1
371229,cg20721135,1
14498,cg00687383,1
314832,cg17180633,1
161862,cg08344551,1
90465,cg04515480,1
255767,cg13824191,1
437453,cg24940885,1
400070,cg22667787,1
461380,cg26439733,1
64030,cg03150622,1
106797,cg05369676,1
243385,cg13194353,1
4080,cg00182877,1
453718,cg25997796,1
162243,cg08367083,1
361384,cg20076126,1
462857,cg26527487,1
316816,cg17304188,1
267401,cg14386496,1
175742,cg09140723,1
270869,cg14554788,1
301481,cg16397968,1
198273,cg10434653,1
62123,cg03050491,1
458684,cg26287822,1
166162,cg08590378,1
473334,cg27126508,1
307572,cg16722216,1
374738,cg20966828,1
36090,cg01763916,1
118937,cg06036536,1
185699,cg09710364,1
327103,cg17960703,1
310271,cg16897014,1
275418,cg14803005,1
163722,cg08456043,1
421702,cg23987648,1
261689,cg14108581,1
334134,cg18378016,1
272415,cg14630630,1
9317,cg00442205,1
149129,cg07650392,1
154402,cg07942598,1
290423,cg15732422,1
213173,cg11317377,1
14662,cg00694353,1
51356,cg02521389,1
209612,cg11106864,1
462535,cg26510033,1
390752,cg22024479,1
93936,cg04702538,1
302073,cg16427107,1
439949,cg25102742,1
306795,cg16684184,1
188648,cg09880724,1
48420,cg02369820,1
250614,cg13573371,1
74833,cg03704771,1
319531,cg17466946,1
70883,cg03509079,1
219922,cg11735305,1
315720,cg17235827,1
435896,cg24852032,1
167799,cg08683890,1
380069,cg21291349,1
183014,cg09552402,1
389145,cg21909391,1
304747,cg16576544,1
422601,cg24037358,1
216445,cg11527436,1
238001,cg12837030,1
156347,cg08055365,1
178370,cg09288273,1
456724,cg26173420,1
156560,cg08066721,1
179244,cg09335306,1
415479,cg23603995,1
333403,cg18329052,1
213773,cg11352256,1
60044,cg02950621,1
327466,cg17981943,1
266524,cg14339397,1
450965,cg25809861,1
395744,cg22367705,1
213819,cg11355297,1
394277,cg22260950,1
50162,cg02463653,1
347327,cg19225953,1
254404,cg13756965,1
333539,cg18337324,1
469124,cg26884658,1
373614,cg20893898,1
137880,cg07058484,1
207097,cg10954617,1
269819,cg14508391,1
227654,cg12177207,1
8512,cg00402139,1
127618,cg06540193,1
327151,cg17964422,1
338009,cg18608749,1
441135,cg25178500,1
265628,cg14294708,1
449750,cg25731211,1
392501,cg22141235,1
257311,cg13905298,1
86728,cg04317707,1
38904,cg01899544,1
323043,cg17707635,1
201237,cg10597359,1
238011,cg12837524,1
209640,cg11108991,1
8117,cg00383977,1
391566,cg22077260,1
479187,cg27479759,1
69872,cg03455418,1
305442,cg16612562,1
362824,cg20170443,1
166282,cg08597733,1
13362,cg00628648,1
111009,cg05606115,1
34671,cg01688202,1
265169,cg14273093,1
286097,cg15473481,1
366431,cg20418818,1
90613,cg04522821,1
166586,cg08615533,1
163834,cg08461247,1
104381,cg05245726,1
5850,cg00275362,1
49333,cg02415231,1
297754,cg16185152,1
465032,cg26655361,1
235486,cg12666827,1
475266,cg27246251,1
267187,cg14375985,1
55719,cg02735736,1
142327,cg07281281,1
69892,cg03456338,1
140688,cg07192614,1
239732,cg12951094,1
197721,cg10399005,1
170755,cg08851607,1
70607,cg03493520,1
329773,cg18115969,1
394234,cg22258045,1
424306,cg24135923,1
299046,cg16260888,1
264049,cg14219262,1
25467,cg01212215,1
83844,cg04172348,1
113945,cg05774324,1
435299,cg24815885,1
53335,cg02619107,1
477871,cg27395310,1
92415,cg04614440,1
457166,cg26201815,1
8313,cg00393985,1
366599,cg20430263,1
104531,cg05255125,1
29013,cg01396391,1
252855,cg13681142,1
115722,cg05873017,1
230681,cg12383807,1
34845,cg01698934,1
374473,cg20951645,1
7882,cg00373101,1
63641,cg03131598,1
419709,cg23875677,1
251023,cg13592750,1
230054,cg12337884,1
341572,cg18831671,1
132862,cg06810869,1
7793,cg00368989,1
343278,cg18942022,1
188193,cg09856996,1
80408,cg03998053,1
247727,cg13440864,1
235896,cg12695158,1
445672,cg25467336,1
50500,cg02480077,1
247971,cg13451082,1
229845,cg12318269,1
331318,cg18200261,1
300498,cg16341737,1
82470,cg04106006,1
478526,cg27435867,1
132518,cg06793967,1
327715,cg18000598,1
360505,cg20018660,1
91654,cg04575087,1
373714,cg20900519,1
391573,cg22077528,1
434350,cg24756435,1
183549,cg09580478,1
44831,cg02190985,1
215576,cg11466502,1
118755,cg06024834,1
439117,cg25043496,1
231367,cg12424646,1
482390,cg27664783,1
303265,cg16499656,1
77109,cg03823904,1
10796,cg00507055,1
443713,cg25347356,1
188766,cg09887862,1
370967,cg20706766,1
132296,cg06783737,1
48029,cg02351082,1
238482,cg12869097,1
8993,cg00423697,1
153458,cg07893544,1
352525,cg19552482,1
142076,cg07266299,1
163498,cg08444731,1
272295,cg14623093,1
322093,cg17634572,1
337245,cg18562663,1
284932,cg15403517,1
331759,cg18229049,1
102010,cg05124441,1
38672,cg01885963,1
340208,cg18755020,1
129939,cg06660522,1
395244,cg22333077,1
397674,cg22505202,1
231606,cg12438155,1
242426,cg13133503,1
106256,cg05345152,1
115130,cg05840533,1
48136,cg02356872,1
48531,cg02375289,1
453243,cg25967516,1
119572,cg06073535,1
124105,cg06344265,1
173292,cg08991610,1
151222,cg07766948,1
408690,cg23188263,1
139306,cg07129339,1
59139,cg02907689,1
243516,cg13203249,1
308330,cg16767880,1
359342,cg19944675,1
53047,cg02604995,1
110988,cg05605052,1
212206,cg11257193,1
255820,cg13826862,1
191007,cg10021633,1
220871,cg11791288,1
355842,cg19746536,1
23917,cg01135950,1
111952,cg05656497,1
441092,cg25174111,1
331521,cg18214379,1
51052,cg02505126,1
243526,cg13203973,1
453282,cg25969728,1
334265,cg18386942,1
473911,cg27161374,1
445799,cg25473981,1
219362,cg11703222,1
217730,cg11607701,1
11983,cg00563870,1
464845,cg26645879,1
167455,cg08662043,1
344684,cg19035186,1
336626,cg18522822,1
466366,cg26727538,1
411799,cg23362997,1
241195,cg13050953,1
92547,cg04622164,1
414371,cg23526586,1
110255,cg05565715,1
134880,cg06904337,1
395672,cg22364219,1
465709,cg26687579,1
100194,cg05025392,1
118097,cg05989089,1
436472,cg24881607,1
392921,cg22165700,1
474429,cg27191606,1
369986,cg20656154,1
31006,cg01494611,1
97600,cg04890459,1
264990,cg14264159,1
134482,cg06885757,1
159653,cg08227260,1
456651,cg26168881,1
122293,cg06228737,1
177766,cg09255154,1
345389,cg19086603,1
88038,cg04387098,1
188727,cg09885502,1
188480,cg09869882,1
18882,cg00899976,1
404726,cg22948975,1
105012,cg05279353,1
184699,cg09650575,1
364767,cg20306180,1
44095,cg02151408,1
158212,cg08150745,1
109638,cg05527416,1
12559,cg00588456,1
266748,cg14351440,1
267372,cg14384803,1
133641,cg06845706,1
191715,cg10064060,1
468479,cg26850117,1
122778,cg06259125,1
231350,cg12423902,1
151657,cg07792871,1
435188,cg24808105,1
302559,cg16454588,1
282883,cg15260248,1
3466,cg00154902,1
368138,cg20533754,1
94937,cg04755571,1
107803,cg05419622,1
411524,cg23346781,1
14293,cg00676269,1
139908,cg07155381,1
412280,cg23396177,1
326102,cg17893767,1
58918,cg02897882,1
231825,cg12450016,1
328528,cg18046087,1
76807,cg03804755,1
26731,cg01279753,1
207484,cg10977910,1
447310,cg25575628,1
82567,cg04110868,1
352103,cg19526184,1
292263,cg15847845,1
379279,cg21236386,1
168217,cg08705697,1
356661,cg19789919,1
290053,cg15712413,1
291474,cg15806457,1
131544,cg06748005,1
70926,cg03511173,1
294122,cg15966106,1
169084,cg08755601,1
100425,cg05036993,1
25197,cg01198359,1
377805,cg21162242,1
261783,cg14114326,1
278586,cg14995148,1
330782,cg18170879,1
417149,cg23694389,1
353543,cg19613915,1
221421,cg11817650,1
196328,cg10317162,1
266364,cg14331362,1
227254,cg12153794,1
154809,cg07964753,1
148946,cg07639198,1
310064,cg16883901,1
210062,cg11136592,1
264413,cg14236662,1
468120,cg26830902,1
40487,cg01972576,1
377741,cg21159120,1
468553,cg26853808,1
227342,cg12159023,1
455911,cg26129545,1
436964,cg24912415,1
6291,cg00298475,1
358639,cg19907257,1
301376,cg16392310,1
316876,cg17307615,1
108325,cg05456789,1
136613,cg06995503,1
46515,cg02279356,1
447791,cg25601709,1
78253,cg03886558,1
47721,cg02336697,1
144865,cg07424927,1
310626,cg16917193,1
462301,cg26496205,1
295305,cg16031250,1
4633,cg00215425,1
187224,cg09803413,1
139710,cg07147204,1
447144,cg25564752,1
137839,cg07056289,1
175946,cg09150559,1
300187,cg16324072,1
155690,cg08017165,1
401154,cg22729335,1
444548,cg25395304,1
130555,cg06697439,1
388177,cg21848624,1
335228,cg18442075,1
4644,cg00215902,1
124271,cg06353428,1
198528,cg10448529,1
181461,cg09462281,1
51610,cg02533724,1
365772,cg20374173,1
249347,cg13514996,1
40325,cg01965673,1
200490,cg10553204,1
69987,cg03461431,1
406475,cg23049291,1
415980,cg23633856,1
160285,cg08260625,1
268764,cg14456004,1
263516,cg14197156,1
187423,cg09815235,1
449022,cg25682920,1
332775,cg18288576,1
357746,cg19855227,1
405580,cg22997974,1
33517,cg01620360,1
431390,cg24586205,1
445120,cg25430671,1
68344,cg03374888,1
479723,cg27510691,1
174234,cg09048404,1
174270,cg09050832,1
363307,cg20208879,1
105580,cg05308244,1
84409,cg04203077,1
39008,cg01905046,1
440014,cg25105617,1
21468,cg01019874,1
153123,cg07874011,1
127814,cg06550200,1
49267,cg02411275,1
422143,cg24010658,1
182229,cg09507561,1
24434,cg01160347,1
26659,cg01275669,1
407463,cg23102195,1
376609,cg21089903,1
438564,cg25013058,1
274832,cg14773822,1
368703,cg20568840,1
228287,cg12215675,1
363883,cg20250269,1
53404,cg02622189,1
311264,cg16963093,1
362163,cg20128672,1
277730,cg14945473,1
414503,cg23533285,1
27507,cg01315863,1
365788,cg20375721,1
385867,cg21685655,1
285573,cg15445111,1
195811,cg10286380,1
470359,cg26953326,1
99326,cg04981007,1
403063,cg22849321,1
15845,cg00749520,1
24206,cg01149192,1
133984,cg06862410,1
260156,cg14034858,1
250275,cg13558568,1
120351,cg06117233,1
196531,cg10327440,1
251468,cg13614036,1
11096,cg00521887,1
427085,cg24325362,1
24363,cg01156768,1
61876,cg03039366,1
33807,cg01636599,1
274643,cg14761252,1
114000,cg05777356,1
272392,cg14629010,1
423469,cg24087438,1
19696,cg00937012,1
155803,cg08023962,1
310284,cg16897800,1
216053,cg11502198,1
431177,cg24573743,1
360568,cg20023271,1
240642,cg13013900,1
133495,cg06838215,1
50383,cg02474183,1
205708,cg10865127,1
11818,cg00556126,1
394456,cg22274395,1
272905,cg14654471,1
224783,cg12014753,1
313665,cg17113602,1
363842,cg20248140,1
368923,cg20585227,1
843,cg00033877,1
385436,cg21652323,1
109446,cg05516327,1
428682,cg24420981,1
107430,cg05398487,1
187694,cg09828998,1
81329,cg04048392,1
75594,cg03740682,1
79556,cg03956053,1
302753,cg16467465,1
423290,cg24077412,1
114272,cg05789974,1
143844,cg07365168,1
106659,cg05363616,1
120468,cg06124066,1
400482,cg22690075,1
302901,cg16476432,1
400507,cg22691639,1
469824,cg26924218,1
324229,cg17785468,1
393467,cg22208108,1
416532,cg23663428,1
316952,cg17313042,1
305869,cg16635945,1
29431,cg01414886,1
140634,cg07189673,1
39843,cg01943577,1
113857,cg05768983,1
3034,cg00133234,1
62930,cg03092930,1
93338,cg04669677,1
430165,cg24511167,1
70392,cg03480210,1
272135,cg14614539,1
326333,cg17911318,1
470647,cg26969150,1
463349,cg26551975,1
9834,cg00464738,1
215566,cg11465939,1
289957,cg15706568,1
320894,cg17546366,1
308763,cg16792957,1
417730,cg23730268,1
96072,cg04815891,1
304072,cg16540238,1
231583,cg12436863,1
82745,cg04118610,1
395535,cg22353823,1
161671,cg08332163,1
202872,cg10696876,1
466871,cg26763945,1
342396,cg18881641,1
413621,cg23483563,1
463067,cg26538529,1
200757,cg10573450,1
40838,cg01990878,1
96171,cg04821942,1
222945,cg11900447,1
298941,cg16255914,1
262232,cg14137281,1
322819,cg17687981,1
179590,cg09357483,1
393501,cg22210403,1
198448,cg10443421,1
307017,cg16696774,1
247953,cg13449967,1
254466,cg13760670,1
290512,cg15737290,1
99019,cg04963514,1
468266,cg26838212,1
341090,cg18803246,1
399877,cg22654980,1
242538,cg13140564,1
441732,cg25214924,1
205688,cg10864394,1
127908,cg06554760,1
311987,cg17011360,1
116065,cg05889266,1
36934,cg01802772,1
198010,cg10419011,1
318390,cg17397369,1
240822,cg13025558,1
32803,cg01584086,1
77986,cg03871824,1
474715,cg27210490,1
142162,cg07271718,1
159805,cg08235349,1
315118,cg17198762,1
291146,cg15781542,1
466407,cg26730347,1
250727,cg13578393,1
309139,cg16816400,1
401652,cg22764591,1
431766,cg24607859,1
241634,cg13078134,1
472551,cg27081049,1
27680,cg01327474,1
240242,cg12986271,1
460637,cg26394788,1
472979,cg27106950,1
174826,cg09085632,1
247766,cg13442567,1
378886,cg21216351,1
476409,cg27310771,1
309826,cg16866567,1
392959,cg22168087,1
211033,cg11193865,1
319780,cg17479999,1
89089,cg04440717,1
39045,cg01906662,1
19856,cg00944712,1
423702,cg24102479,1
200665,cg10566592,1
144473,cg07399417,1
15787,cg00746844,1
133165,cg06824157,1
34347,cg01667350,1
156481,cg08062959,1
9795,cg00462971,1
306669,cg16678032,1
473888,cg27160141,1
204207,cg10779718,1
57368,cg02822037,1
388999,cg21901029,1
466474,cg26734950,1
199089,cg10482792,1
136554,cg06992220,1
51054,cg02505199,1
313855,cg17127235,1
205051,cg10826053,1
124763,cg06379361,1
214641,cg11405538,1
287093,cg15544633,1
476653,cg27321949,1
168395,cg08715489,1
273817,cg14707353,1
416041,cg23636682,1
4603,cg00213905,1
262857,cg14167982,1
67218,cg03319638,1
16047,cg00759619,1
9887,cg00466873,1
255288,cg13800612,1
156453,cg08061367,1
276388,cg14859874,1
11051,cg00519463,1
259877,cg14022523,1
266698,cg14349055,1
306313,cg16658618,1
346717,cg19182267,1
439555,cg25074794,1
161731,cg08335702,1
319669,cg17473923,1
